assists_by,assists_for,match_id,minutes_played,num_assists,num_goals,num_nutmegs,opponent,season_id
{},{},266149.0,90.0,0.0,1.0,0.0,Athletic Club,27.0
"{'Luis Alberto Suárez Díaz': 1, 'Arda Turan': 1}",{},266620.0,90.0,0.0,3.0,0.0,Granada,27.0
{'Munir El Haddadi Mohamed': 1},{},266056.0,90.0,0.0,2.0,0.0,Eibar,27.0
{'Neymar da Silva Santos Junior': 1},{},267327.0,90.0,0.0,1.0,0.0,Real Betis,27.0
{'Luis Alberto Suárez Díaz': 1},{},266166.0,31.0,0.0,1.0,1.0,Atlético Madrid,27.0
{},{'Luis Alberto Suárez Díaz': 1},266160.0,90.0,1.0,0.0,0.0,Levante,27.0
{},{},265839.0,90.0,0.0,1.0,0.0,Sevilla,27.0
{},{},266424.0,34.0,0.0,0.0,0.0,Real Madrid,27.0
{},{'Neymar da Silva Santos Junior': 1},266467.0,90.0,1.0,0.0,0.0,Celta Vigo,27.0
{},{},267273.0,90.0,0.0,0.0,0.0,Las Palmas,27.0
{'Marc Bartra Aregall': 1},{'Marc Bartra Aregall': 1},266490.0,90.0,1.0,2.0,1.0,Levante,27.0
{},{'Luis Alberto Suárez Díaz': 1},266254.0,90.0,1.0,1.0,1.0,Celta Vigo,27.0
{'Jordi Alba Ramos': 1},{},266557.0,90.0,0.0,1.0,0.0,Valencia,27.0
{},{'Jérémy Mathieu': 1},267183.0,90.0,1.0,0.0,1.0,Real Madrid,26.0
{'Neymar da Silva Santos Junior': 2},{},265835.0,90.0,0.0,3.0,1.0,Sevilla,26.0
{},{},266838.0,90.0,0.0,0.0,0.0,Málaga,26.0
{'Luis Alberto Suárez Díaz': 1},{'Luis Alberto Suárez Díaz': 1},265963.0,90.0,1.0,2.0,0.0,Getafe,26.0
{'Daniel Alves da Silva': 1},"{'Ivan Rakitić': 1, 'Neymar da Silva Santos Junior': 1}",266117.0,90.0,2.0,2.0,0.0,Granada,26.0
{},{'Luis Alberto Suárez Díaz': 1},266916.0,90.0,1.0,3.0,0.0,Rayo Vallecano,26.0
"{'Rafael Alcântara do Nascimento': 1, 'Neymar da Silva Santos Junior': 1}",{},267197.0,90.0,0.0,2.0,1.0,Deportivo La Coruna,26.0
{},{},70264.0,90.0,0.0,0.0,1.0,Getafe,26.0
{},{'Neymar da Silva Santos Junior': 2},70273.0,90.0,2.0,0.0,0.0,Athletic Club,26.0
{},{},267301.0,90.0,0.0,0.0,1.0,Celta Vigo,26.0
{'Neymar da Silva Santos Junior': 1},{'Xavier Hernández Creus': 1},265896.0,90.0,1.0,1.0,0.0,Eibar,26.0
{'Daniel Alves da Silva': 1},{'Ivan Rakitić': 1},265866.0,90.0,1.0,2.0,1.0,Córdoba,26.0
{'Marc Bartra Aregall': 1},{},267400.0,90.0,0.0,1.0,0.0,Almería,26.0
{},{},266406.0,90.0,0.0,0.0,0.0,Villarreal,26.0
{},{},267085.0,90.0,0.0,0.0,0.0,Real Madrid,26.0
{'Gerard Piqué Bernabéu': 1},{},267561.0,90.0,0.0,1.0,0.0,Rayo Vallecano,26.0
{},{},266148.0,90.0,0.0,0.0,2.0,Málaga,26.0
{},{},266045.0,90.0,0.0,0.0,0.0,Real Sociedad,26.0
{},{},70303.0,90.0,0.0,1.0,2.0,Atlético Madrid,26.0
{},{},266240.0,45.0,0.0,0.0,0.0,Real Sociedad,26.0
{'Luis Alberto Suárez Díaz': 1},{},267597.0,90.0,0.0,1.0,0.0,Villarreal,26.0
{'Marc Bartra Aregall': 1},{'Neymar da Silva Santos Junior': 2},266794.0,90.0,2.0,2.0,0.0,Elche,26.0
{'Luis Alberto Suárez Díaz': 1},{},267343.0,90.0,0.0,1.0,0.0,Granada,26.0
{'Pedro Eliezer Rodríguez Ledesma': 1},{},266631.0,90.0,0.0,1.0,0.0,Atlético Madrid,26.0
"{'Pedro Eliezer Rodríguez Ledesma': 1, 'Luis Alberto Suárez Díaz': 1, 'Xavier Hernández Creus': 1}",{},266320.0,90.0,0.0,3.0,1.0,Espanyol,26.0
"{'Daniel Alves da Silva': 1, 'Ivan Rakitić': 1}",{},266230.0,90.0,0.0,3.0,0.0,Deportivo La Coruna,26.0
{},{'Luis Alberto Suárez Díaz': 1},266525.0,90.0,1.0,1.0,1.0,Valencia,26.0
{},{},266560.0,90.0,0.0,0.0,0.0,Valencia,26.0
{},{},266846.0,90.0,0.0,2.0,1.0,Córdoba,26.0
